"Statistic Label","Year","Age Group","Sex","Education Attainment Level","UNIT","VALUE"
"Annual percentage of part-time work","2022","All ages","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","All ages","Female","Levels of Education (Levels  0-8)","%","27.9"
"Annual percentage of part-time work","2022","All ages","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","All ages","Female","Primary and lower secondary education (Levels 1-2)","%","47.8"
"Annual percentage of part-time work","2022","All ages","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","41.3"
"Annual percentage of part-time work","2022","All ages","Female","Tertiary education (Levels 5-8)","%","19.9"
"Annual percentage of part-time work","2022","All ages","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","20 - 24 years","Both sexes","Levels of Education (Levels  0-8)","%","36.8"
"Annual percentage of part-time work","2022","20 - 24 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","20 - 24 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","20 - 24 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","46.6"
"Annual percentage of part-time work","2022","20 - 24 years","Both sexes","Tertiary education (Levels 5-8)","%","19.6"
"Annual percentage of part-time work","2022","20 - 24 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","20 - 24 years","Male","Levels of Education (Levels  0-8)","%","29.2"
"Annual percentage of part-time work","2022","20 - 24 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","20 - 24 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","20 - 24 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","35.9"
"Annual percentage of part-time work","2022","20 - 24 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2022","20 - 24 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","20 - 24 years","Female","Levels of Education (Levels  0-8)","%","44.6"
"Annual percentage of part-time work","2022","20 - 24 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","20 - 24 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","20 - 24 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","57.8"
"Annual percentage of part-time work","2022","20 - 24 years","Female","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2022","20 - 24 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","25 - 29 years","Both sexes","Levels of Education (Levels  0-8)","%","12.6"
"Annual percentage of part-time work","2022","25 - 29 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","25 - 29 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","25 - 29 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","19.4"
"Annual percentage of part-time work","2022","25 - 29 years","Both sexes","Tertiary education (Levels 5-8)","%","8.9"
"Annual percentage of part-time work","2022","25 - 29 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","25 - 29 years","Male","Levels of Education (Levels  0-8)","%",""
"Annual percentage of part-time work","2022","25 - 29 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","25 - 29 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","25 - 29 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2022","25 - 29 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2022","25 - 29 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","25 - 29 years","Female","Levels of Education (Levels  0-8)","%","16"
"Annual percentage of part-time work","2022","25 - 29 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","25 - 29 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","25 - 29 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2022","25 - 29 years","Female","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2022","25 - 29 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","30 - 34 years","Both sexes","Levels of Education (Levels  0-8)","%","10.2"
"Annual percentage of part-time work","2022","30 - 34 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","30 - 34 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","30 - 34 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","15.8"
"Annual percentage of part-time work","2022","30 - 34 years","Both sexes","Tertiary education (Levels 5-8)","%","6.9"
"Annual percentage of part-time work","2022","30 - 34 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","30 - 34 years","Male","Levels of Education (Levels  0-8)","%",""
"Annual percentage of part-time work","2022","30 - 34 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","30 - 34 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","30 - 34 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2022","30 - 34 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2022","30 - 34 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","30 - 34 years","Female","Levels of Education (Levels  0-8)","%","15.1"
"Annual percentage of part-time work","2022","30 - 34 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","30 - 34 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","30 - 34 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2022","30 - 34 years","Female","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2022","30 - 34 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","35 - 39 years","Both sexes","Levels of Education (Levels  0-8)","%","12"
"Annual percentage of part-time work","2022","35 - 39 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","35 - 39 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","35 - 39 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","18"
"Annual percentage of part-time work","2022","35 - 39 years","Both sexes","Tertiary education (Levels 5-8)","%","9"
"Annual percentage of part-time work","2022","35 - 39 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","35 - 39 years","Male","Levels of Education (Levels  0-8)","%",""
"Annual percentage of part-time work","2022","35 - 39 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2022","35 - 39 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2022","35 - 39 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","35 - 39 years","Female","Levels of Education (Levels  0-8)","%","20.2"
"Annual percentage of part-time work","2022","35 - 39 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","34.5"
"Annual percentage of part-time work","2022","35 - 39 years","Female","Tertiary education (Levels 5-8)","%","14.5"
"Annual percentage of part-time work","2022","35 - 39 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","40 - 44 years","Both sexes","Levels of Education (Levels  0-8)","%","16.2"
"Annual percentage of part-time work","2022","40 - 44 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","40 - 44 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","40 - 44 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","20.6"
"Annual percentage of part-time work","2022","40 - 44 years","Both sexes","Tertiary education (Levels 5-8)","%","14.1"
"Annual percentage of part-time work","2022","40 - 44 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","40 - 44 years","Male","Levels of Education (Levels  0-8)","%",""
"Annual percentage of part-time work","2022","40 - 44 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","40 - 44 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","40 - 44 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2022","40 - 44 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2022","40 - 44 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","40 - 44 years","Female","Levels of Education (Levels  0-8)","%","29.2"
"Annual percentage of part-time work","2022","40 - 44 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","40 - 44 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","40 - 44 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","44.8"
"Annual percentage of part-time work","2022","40 - 44 years","Female","Tertiary education (Levels 5-8)","%","23.9"
"Annual percentage of part-time work","2022","40 - 44 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","45 - 49 years","Both sexes","Levels of Education (Levels  0-8)","%","15.5"
"Annual percentage of part-time work","2022","45 - 49 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","45 - 49 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","45 - 49 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","19.1"
"Annual percentage of part-time work","2022","45 - 49 years","Both sexes","Tertiary education (Levels 5-8)","%","13.4"
"Annual percentage of part-time work","2022","45 - 49 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","45 - 49 years","Male","Levels of Education (Levels  0-8)","%","4.7"
"Annual percentage of part-time work","2022","45 - 49 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","45 - 49 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","45 - 49 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2022","45 - 49 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2022","45 - 49 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","45 - 49 years","Female","Levels of Education (Levels  0-8)","%","27.3"
"Annual percentage of part-time work","2022","45 - 49 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","45 - 49 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","45 - 49 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","37.1"
"Annual percentage of part-time work","2022","45 - 49 years","Female","Tertiary education (Levels 5-8)","%","22.9"
"Annual percentage of part-time work","2022","45 - 49 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","50 - 54 years","Both sexes","Levels of Education (Levels  0-8)","%","18.1"
"Annual percentage of part-time work","2022","50 - 54 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","50 - 54 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","50 - 54 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","22.2"
"Annual percentage of part-time work","2022","50 - 54 years","Both sexes","Tertiary education (Levels 5-8)","%","16.1"
"Annual percentage of part-time work","2022","50 - 54 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","50 - 54 years","Male","Levels of Education (Levels  0-8)","%","6.2"
"Annual percentage of part-time work","2022","50 - 54 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","50 - 54 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","50 - 54 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2022","50 - 54 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2022","50 - 54 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","50 - 54 years","Female","Levels of Education (Levels  0-8)","%","32.8"
"Annual percentage of part-time work","2022","50 - 54 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","50 - 54 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","50 - 54 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","40.8"
"Annual percentage of part-time work","2022","50 - 54 years","Female","Tertiary education (Levels 5-8)","%","28.1"
"Annual percentage of part-time work","2022","50 - 54 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","55 - 59 years","Both sexes","Levels of Education (Levels  0-8)","%","20.6"
"Annual percentage of part-time work","2022","55 - 59 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","55 - 59 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","24.1"
"Annual percentage of part-time work","2022","55 - 59 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","24.7"
"Annual percentage of part-time work","2022","55 - 59 years","Both sexes","Tertiary education (Levels 5-8)","%","15.8"
"Annual percentage of part-time work","2022","55 - 59 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","55 - 59 years","Male","Levels of Education (Levels  0-8)","%","9.6"
"Annual percentage of part-time work","2022","55 - 59 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","55 - 59 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","55 - 59 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2022","55 - 59 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2022","55 - 59 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","55 - 59 years","Female","Levels of Education (Levels  0-8)","%","33.3"
"Annual percentage of part-time work","2022","55 - 59 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","55 - 59 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","55 - 59 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","37.3"
"Annual percentage of part-time work","2022","55 - 59 years","Female","Tertiary education (Levels 5-8)","%","26.2"
"Annual percentage of part-time work","2022","55 - 59 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","60 - 64 years","Both sexes","Levels of Education (Levels  0-8)","%","29.4"
"Annual percentage of part-time work","2022","60 - 64 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","60 - 64 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","23.1"
"Annual percentage of part-time work","2022","60 - 64 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","31"
"Annual percentage of part-time work","2022","60 - 64 years","Both sexes","Tertiary education (Levels 5-8)","%","31.8"
"Annual percentage of part-time work","2022","60 - 64 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","60 - 64 years","Male","Levels of Education (Levels  0-8)","%","16.8"
"Annual percentage of part-time work","2022","60 - 64 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","60 - 64 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","60 - 64 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2022","60 - 64 years","Male","Tertiary education (Levels 5-8)","%","22.5"
"Annual percentage of part-time work","2022","60 - 64 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","60 - 64 years","Female","Levels of Education (Levels  0-8)","%","47.2"
"Annual percentage of part-time work","2022","60 - 64 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","60 - 64 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2022","60 - 64 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","50.1"
"Annual percentage of part-time work","2022","60 - 64 years","Female","Tertiary education (Levels 5-8)","%","42"
"Annual percentage of part-time work","2022","60 - 64 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","All ages","Both sexes","Levels of Education (Levels  0-8)","%","17.8"
"Annual percentage of part-time work","2023","All ages","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","All ages","Both sexes","Primary and lower secondary education (Levels 1-2)","%","26.5"
"Annual percentage of part-time work","2023","All ages","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","23.4"
"Annual percentage of part-time work","2023","All ages","Both sexes","Tertiary education (Levels 5-8)","%","13.8"
"Annual percentage of part-time work","2023","All ages","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","All ages","Male","Levels of Education (Levels  0-8)","%","9.1"
"Annual percentage of part-time work","2023","All ages","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","All ages","Male","Primary and lower secondary education (Levels 1-2)","%","15.4"
"Annual percentage of part-time work","2023","All ages","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","12.1"
"Annual percentage of part-time work","2023","All ages","Male","Tertiary education (Levels 5-8)","%","6.1"
"Annual percentage of part-time work","2023","All ages","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","All ages","Female","Levels of Education (Levels  0-8)","%","27.4"
"Annual percentage of part-time work","2023","All ages","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","All ages","Female","Primary and lower secondary education (Levels 1-2)","%","55.6"
"Annual percentage of part-time work","2023","All ages","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","39.5"
"Annual percentage of part-time work","2023","All ages","Female","Tertiary education (Levels 5-8)","%","20.7"
"Annual percentage of part-time work","2023","All ages","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","20 - 24 years","Both sexes","Levels of Education (Levels  0-8)","%","37.4"
"Annual percentage of part-time work","2023","20 - 24 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","20 - 24 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2023","20 - 24 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","43.7"
"Annual percentage of part-time work","2023","20 - 24 years","Both sexes","Tertiary education (Levels 5-8)","%","26.7"
"Annual percentage of part-time work","2023","20 - 24 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","20 - 24 years","Male","Levels of Education (Levels  0-8)","%","32"
"Annual percentage of part-time work","2023","20 - 24 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","20 - 24 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2023","20 - 24 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","34.5"
"Annual percentage of part-time work","2023","20 - 24 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2023","20 - 24 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","20 - 24 years","Female","Levels of Education (Levels  0-8)","%","43.3"
"Annual percentage of part-time work","2023","20 - 24 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","20 - 24 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2023","20 - 24 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","55.8"
"Annual percentage of part-time work","2023","20 - 24 years","Female","Tertiary education (Levels 5-8)","%","25.6"
"Annual percentage of part-time work","2023","20 - 24 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","25 - 29 years","Both sexes","Levels of Education (Levels  0-8)","%","11"
"Annual percentage of part-time work","2023","25 - 29 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","25 - 29 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2023","25 - 29 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","16.6"
"Annual percentage of part-time work","2023","25 - 29 years","Both sexes","Tertiary education (Levels 5-8)","%","8.2"
"Annual percentage of part-time work","2023","25 - 29 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","25 - 29 years","Male","Levels of Education (Levels  0-8)","%","9.1"
"Annual percentage of part-time work","2023","25 - 29 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","25 - 29 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2023","25 - 29 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2023","25 - 29 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2023","25 - 29 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","25 - 29 years","Female","Levels of Education (Levels  0-8)","%","12.9"
"Annual percentage of part-time work","2023","25 - 29 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","25 - 29 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2023","25 - 29 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2023","25 - 29 years","Female","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2023","25 - 29 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","30 - 34 years","Both sexes","Levels of Education (Levels  0-8)","%","10.3"
"Annual percentage of part-time work","2023","30 - 34 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","30 - 34 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2023","30 - 34 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","17"
"Annual percentage of part-time work","2023","30 - 34 years","Both sexes","Tertiary education (Levels 5-8)","%","6.2"
"Annual percentage of part-time work","2023","30 - 34 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","30 - 34 years","Male","Levels of Education (Levels  0-8)","%",""
"Annual percentage of part-time work","2023","30 - 34 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","30 - 34 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2023","30 - 34 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2023","30 - 34 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2023","30 - 34 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","30 - 34 years","Female","Levels of Education (Levels  0-8)","%","15.4"
"Annual percentage of part-time work","2023","30 - 34 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","30 - 34 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2023","30 - 34 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","33.3"
"Annual percentage of part-time work","2023","30 - 34 years","Female","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2023","30 - 34 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","35 - 39 years","Both sexes","Levels of Education (Levels  0-8)","%","14.3"
"Annual percentage of part-time work","2023","35 - 39 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","35 - 39 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2023","35 - 39 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","21.3"
"Annual percentage of part-time work","2023","35 - 39 years","Both sexes","Tertiary education (Levels 5-8)","%","10.9"
"Annual percentage of part-time work","2023","35 - 39 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","35 - 39 years","Male","Levels of Education (Levels  0-8)","%",""
"Annual percentage of part-time work","2023","35 - 39 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2023","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2023","35 - 39 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2023","35 - 39 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","35 - 39 years","Female","Levels of Education (Levels  0-8)","%","23"
"Annual percentage of part-time work","2023","35 - 39 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2023","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","46.1"
"Annual percentage of part-time work","2023","35 - 39 years","Female","Tertiary education (Levels 5-8)","%","16.7"
"Annual percentage of part-time work","2023","35 - 39 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","40 - 44 years","Both sexes","Levels of Education (Levels  0-8)","%","13.7"
"Annual percentage of part-time work","2023","40 - 44 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","40 - 44 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2023","40 - 44 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","16.3"
"Annual percentage of part-time work","2023","40 - 44 years","Both sexes","Tertiary education (Levels 5-8)","%","12.4"
"Annual percentage of part-time work","2023","40 - 44 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","40 - 44 years","Male","Levels of Education (Levels  0-8)","%",""
"Annual percentage of part-time work","2023","40 - 44 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","40 - 44 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2023","40 - 44 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2023","40 - 44 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2023","40 - 44 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","40 - 44 years","Female","Levels of Education (Levels  0-8)","%","23"
"Annual percentage of part-time work","2023","40 - 44 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2023","40 - 44 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2023","40 - 44 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","29"
"Annual percentage of part-time work","2023","40 - 44 years","Female","Tertiary education (Levels 5-8)","%","19.9"
"Annual percentage of part-time work","2023","40 - 44 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2023","45 - 49 years","Both sexes","Levels of Education (Levels  0-8)","%","15.7"
"Annual percentage of part-time work","2023","45 - 49 years","Both sexes","Less than primary (Level 0)","%",""
