Quarter,Sex,Education Attainment Level,Age Group,Employment_Rate,Unemployment_Rate,Long_term_Unemployment_Rate
2022Q2,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 29 years,69.8,,
2022Q2,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 54 years,67.6,6.0,
2022Q2,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),30 - 34 years,62.1,,
2022Q2,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),35 - 39 years,67.7,,
2022Q2,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),40 - 44 years,67.3,,
2022Q2,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),45 - 49 years,73.2,,
2022Q2,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),50 - 54 years,65.9,,
2022Q2,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 59 years,64.7,,
2022Q2,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 74 years,,,
2022Q2,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),60 - 64 years,50.4,,
2022Q2,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),All ages,64.8,6.0,
2022Q2,Male,Less than primary (Level 0),15 - 24 years,,,
2022Q2,Male,Less than primary (Level 0),20 - 24 years,,,
2022Q2,Male,Less than primary (Level 0),25 - 29 years,,,
2022Q2,Male,Less than primary (Level 0),25 - 54 years,,,
2022Q2,Male,Less than primary (Level 0),30 - 34 years,,,
2022Q2,Male,Less than primary (Level 0),35 - 39 years,,,
2022Q2,Male,Less than primary (Level 0),40 - 44 years,,,
2022Q2,Male,Less than primary (Level 0),45 - 49 years,,,
2022Q2,Male,Less than primary (Level 0),50 - 54 years,,,
2022Q2,Male,Less than primary (Level 0),55 - 59 years,,,
2022Q2,Male,Less than primary (Level 0),55 - 74 years,,,
2022Q2,Male,Less than primary (Level 0),60 - 64 years,,,
2022Q2,Male,Less than primary (Level 0),All ages,,,
2022Q2,Male,Level of education - not stated,15 - 24 years,,,
2022Q2,Male,Level of education - not stated,20 - 24 years,,,
2022Q2,Male,Level of education - not stated,25 - 29 years,,,
2022Q2,Male,Level of education - not stated,25 - 54 years,82.0,,
2022Q2,Male,Level of education - not stated,30 - 34 years,,,
2022Q2,Male,Level of education - not stated,35 - 39 years,,,
2022Q2,Male,Level of education - not stated,40 - 44 years,,,
2022Q2,Male,Level of education - not stated,45 - 49 years,,,
2022Q2,Male,Level of education - not stated,50 - 54 years,,,
2022Q2,Male,Level of education - not stated,55 - 59 years,,,
2022Q2,Male,Level of education - not stated,55 - 74 years,,,
2022Q2,Male,Level of education - not stated,60 - 64 years,,,
2022Q2,Male,Level of education - not stated,All ages,79.4,,
2022Q2,Male,Levels of Education (Levels  0-8),15 - 24 years,,12.6,
2022Q2,Male,Levels of Education (Levels  0-8),20 - 24 years,70.0,,
2022Q2,Male,Levels of Education (Levels  0-8),25 - 29 years,85.1,,
2022Q2,Male,Levels of Education (Levels  0-8),25 - 54 years,88.9,3.4,1.3
2022Q2,Male,Levels of Education (Levels  0-8),30 - 34 years,87.2,,
2022Q2,Male,Levels of Education (Levels  0-8),35 - 39 years,92.5,,
2022Q2,Male,Levels of Education (Levels  0-8),40 - 44 years,91.9,,
2022Q2,Male,Levels of Education (Levels  0-8),45 - 49 years,87.6,,
2022Q2,Male,Levels of Education (Levels  0-8),50 - 54 years,88.2,,
2022Q2,Male,Levels of Education (Levels  0-8),55 - 59 years,82.4,,
2022Q2,Male,Levels of Education (Levels  0-8),55 - 74 years,,2.9,1.6
2022Q2,Male,Levels of Education (Levels  0-8),60 - 64 years,66.8,,
2022Q2,Male,Levels of Education (Levels  0-8),All ages,84.3,4.4,1.3
2022Q2,Male,Primary and lower secondary education (Levels 1-2),15 - 24 years,,23.8,
2022Q2,Male,Primary and lower secondary education (Levels 1-2),20 - 24 years,,,
2022Q2,Male,Primary and lower secondary education (Levels 1-2),25 - 29 years,,,
2022Q2,Male,Primary and lower secondary education (Levels 1-2),25 - 54 years,69.2,,
2022Q2,Male,Primary and lower secondary education (Levels 1-2),30 - 34 years,,,
2022Q2,Male,Primary and lower secondary education (Levels 1-2),35 - 39 years,65.8,,
2022Q2,Male,Primary and lower secondary education (Levels 1-2),40 - 44 years,79.7,,
2022Q2,Male,Primary and lower secondary education (Levels 1-2),45 - 49 years,68.3,,
2022Q2,Male,Primary and lower secondary education (Levels 1-2),50 - 54 years,72.8,,
2022Q2,Male,Primary and lower secondary education (Levels 1-2),55 - 59 years,71.8,,
2022Q2,Male,Primary and lower secondary education (Levels 1-2),55 - 74 years,,,
2022Q2,Male,Primary and lower secondary education (Levels 1-2),60 - 64 years,59.3,,
2022Q2,Male,Primary and lower secondary education (Levels 1-2),All ages,66.9,9.0,
2022Q2,Male,Tertiary education (Levels 5-8),15 - 24 years,,,
2022Q2,Male,Tertiary education (Levels 5-8),20 - 24 years,78.4,,
2022Q2,Male,Tertiary education (Levels 5-8),25 - 29 years,91.6,,
2022Q2,Male,Tertiary education (Levels 5-8),25 - 54 years,94.1,2.6,
2022Q2,Male,Tertiary education (Levels 5-8),30 - 34 years,91.4,,
2022Q2,Male,Tertiary education (Levels 5-8),35 - 39 years,97.7,,
2022Q2,Male,Tertiary education (Levels 5-8),40 - 44 years,94.8,,
2022Q2,Male,Tertiary education (Levels 5-8),45 - 49 years,93.4,,
2022Q2,Male,Tertiary education (Levels 5-8),50 - 54 years,95.8,,
2022Q2,Male,Tertiary education (Levels 5-8),55 - 59 years,92.7,,
2022Q2,Male,Tertiary education (Levels 5-8),55 - 74 years,,,
2022Q2,Male,Tertiary education (Levels 5-8),60 - 64 years,69.4,,
2022Q2,Male,Tertiary education (Levels 5-8),All ages,91.6,2.9,
2022Q2,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),15 - 24 years,,9.1,
2022Q2,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),20 - 24 years,68.9,,
2022Q2,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 29 years,80.3,,
2022Q2,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 54 years,87.3,3.6,
2022Q2,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),30 - 34 years,84.3,,
2022Q2,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),35 - 39 years,92.1,,
2022Q2,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),40 - 44 years,91.1,,
2022Q2,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),45 - 49 years,87.2,,
2022Q2,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),50 - 54 years,86.0,,
2022Q2,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 59 years,81.3,,
2022Q2,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 74 years,,,
2022Q2,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),60 - 64 years,71.5,,
2022Q2,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),All ages,82.0,4.6,1.5
2022Q3,Both sexes,Less than primary (Level 0),15 - 24 years,,,
2022Q3,Both sexes,Less than primary (Level 0),20 - 24 years,,,
2022Q3,Both sexes,Less than primary (Level 0),25 - 29 years,,,
2022Q3,Both sexes,Less than primary (Level 0),25 - 54 years,,,
2022Q3,Both sexes,Less than primary (Level 0),30 - 34 years,,,
2022Q3,Both sexes,Less than primary (Level 0),35 - 39 years,,,
2022Q3,Both sexes,Less than primary (Level 0),40 - 44 years,,,
2022Q3,Both sexes,Less than primary (Level 0),45 - 49 years,,,
2022Q3,Both sexes,Less than primary (Level 0),50 - 54 years,,,
2022Q3,Both sexes,Less than primary (Level 0),55 - 59 years,,,
2022Q3,Both sexes,Less than primary (Level 0),55 - 74 years,,,
2022Q3,Both sexes,Less than primary (Level 0),60 - 64 years,,,
2022Q3,Both sexes,Less than primary (Level 0),All ages,,,
2022Q3,Both sexes,Level of education - not stated,15 - 24 years,,,
2022Q3,Both sexes,Level of education - not stated,20 - 24 years,,,
2022Q3,Both sexes,Level of education - not stated,25 - 29 years,,,
2022Q3,Both sexes,Level of education - not stated,25 - 54 years,80.4,,
2022Q3,Both sexes,Level of education - not stated,30 - 34 years,,,
2022Q3,Both sexes,Level of education - not stated,35 - 39 years,86.5,,
2022Q3,Both sexes,Level of education - not stated,40 - 44 years,91.7,,
2022Q3,Both sexes,Level of education - not stated,45 - 49 years,79.1,,
2022Q3,Both sexes,Level of education - not stated,50 - 54 years,,,
2022Q3,Both sexes,Level of education - not stated,55 - 59 years,,,
2022Q3,Both sexes,Level of education - not stated,55 - 74 years,,,
2022Q3,Both sexes,Level of education - not stated,60 - 64 years,,,
2022Q3,Both sexes,Level of education - not stated,All ages,73.7,,
2022Q3,Both sexes,Levels of Education (Levels  0-8),15 - 24 years,,12.0,
2022Q3,Both sexes,Levels of Education (Levels  0-8),20 - 24 years,67.2,,
2022Q3,Both sexes,Levels of Education (Levels  0-8),25 - 29 years,81.8,,
2022Q3,Both sexes,Levels of Education (Levels  0-8),25 - 54 years,82.7,3.5,1.1
2022Q3,Both sexes,Levels of Education (Levels  0-8),30 - 34 years,82.6,,
2022Q3,Both sexes,Levels of Education (Levels  0-8),35 - 39 years,83.1,,
2022Q3,Both sexes,Levels of Education (Levels  0-8),40 - 44 years,84.7,,
2022Q3,Both sexes,Levels of Education (Levels  0-8),45 - 49 years,83.2,,
2022Q3,Both sexes,Levels of Education (Levels  0-8),50 - 54 years,80.2,,
2022Q3,Both sexes,Levels of Education (Levels  0-8),55 - 59 years,75.1,,
2022Q3,Both sexes,Levels of Education (Levels  0-8),55 - 74 years,,2.8,1.4
2022Q3,Both sexes,Levels of Education (Levels  0-8),60 - 64 years,58.1,,
2022Q3,Both sexes,Levels of Education (Levels  0-8),All ages,78.1,4.4,1.1
2022Q3,Both sexes,Primary and lower secondary education (Levels 1-2),15 - 24 years,,16.4,
2022Q3,Both sexes,Primary and lower secondary education (Levels 1-2),20 - 24 years,,,
2022Q3,Both sexes,Primary and lower secondary education (Levels 1-2),25 - 29 years,,,
2022Q3,Both sexes,Primary and lower secondary education (Levels 1-2),25 - 54 years,58.4,8.9,
2022Q3,Both sexes,Primary and lower secondary education (Levels 1-2),30 - 34 years,,,
2022Q3,Both sexes,Primary and lower secondary education (Levels 1-2),35 - 39 years,52.8,,
2022Q3,Both sexes,Primary and lower secondary education (Levels 1-2),40 - 44 years,66.3,,
2022Q3,Both sexes,Primary and lower secondary education (Levels 1-2),45 - 49 years,60.3,,
2022Q3,Both sexes,Primary and lower secondary education (Levels 1-2),50 - 54 years,63.4,,
2022Q3,Both sexes,Primary and lower secondary education (Levels 1-2),55 - 59 years,59.3,,
2022Q3,Both sexes,Primary and lower secondary education (Levels 1-2),55 - 74 years,,,
2022Q3,Both sexes,Primary and lower secondary education (Levels 1-2),60 - 64 years,48.3,,
2022Q3,Both sexes,Primary and lower secondary education (Levels 1-2),All ages,56.1,8.9,2.7
2022Q3,Both sexes,Tertiary education (Levels 5-8),15 - 24 years,,12.3,
2022Q3,Both sexes,Tertiary education (Levels 5-8),20 - 24 years,75.8,,
2022Q3,Both sexes,Tertiary education (Levels 5-8),25 - 29 years,87.8,,
2022Q3,Both sexes,Tertiary education (Levels 5-8),25 - 54 years,89.0,2.5,
2022Q3,Both sexes,Tertiary education (Levels 5-8),30 - 34 years,90.2,,
2022Q3,Both sexes,Tertiary education (Levels 5-8),35 - 39 years,89.5,,
2022Q3,Both sexes,Tertiary education (Levels 5-8),40 - 44 years,89.0,,
2022Q3,Both sexes,Tertiary education (Levels 5-8),45 - 49 years,88.7,,
2022Q3,Both sexes,Tertiary education (Levels 5-8),50 - 54 years,88.5,,
2022Q3,Both sexes,Tertiary education (Levels 5-8),55 - 59 years,85.6,,
2022Q3,Both sexes,Tertiary education (Levels 5-8),55 - 74 years,,2.5,
2022Q3,Both sexes,Tertiary education (Levels 5-8),60 - 64 years,63.2,,
2022Q3,Both sexes,Tertiary education (Levels 5-8),All ages,86.2,3.1,0.7
2022Q3,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),15 - 24 years,,10.7,
2022Q3,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),20 - 24 years,65.3,,
2022Q3,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 29 years,77.6,,
2022Q3,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 54 years,78.5,4.2,1.6
2022Q3,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),30 - 34 years,73.8,,
2022Q3,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),35 - 39 years,78.6,,
2022Q3,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),40 - 44 years,80.7,,
2022Q3,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),45 - 49 years,82.0,,
2022Q3,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),50 - 54 years,77.0,,
2022Q3,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 59 years,75.3,,
2022Q3,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 74 years,,,
2022Q3,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),60 - 64 years,60.3,,
2022Q3,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),All ages,74.2,5.2,1.4
2022Q3,Female,Less than primary (Level 0),15 - 24 years,,,
2022Q3,Female,Less than primary (Level 0),20 - 24 years,,,
2022Q3,Female,Less than primary (Level 0),25 - 29 years,,,
2022Q3,Female,Less than primary (Level 0),25 - 54 years,,,
2022Q3,Female,Less than primary (Level 0),30 - 34 years,,,
2022Q3,Female,Less than primary (Level 0),35 - 39 years,,,
2022Q3,Female,Less than primary (Level 0),40 - 44 years,,,
2022Q3,Female,Less than primary (Level 0),45 - 49 years,,,
2022Q3,Female,Less than primary (Level 0),50 - 54 years,,,
2022Q3,Female,Less than primary (Level 0),55 - 59 years,,,
2022Q3,Female,Less than primary (Level 0),55 - 74 years,,,
2022Q3,Female,Less than primary (Level 0),60 - 64 years,,,
2022Q3,Female,Less than primary (Level 0),All ages,,,
2022Q3,Female,Level of education - not stated,15 - 24 years,,,
2022Q3,Female,Level of education - not stated,20 - 24 years,,,
2022Q3,Female,Level of education - not stated,25 - 29 years,,,
2022Q3,Female,Level of education - not stated,25 - 54 years,75.1,,
2022Q3,Female,Level of education - not stated,30 - 34 years,,,
2022Q3,Female,Level of education - not stated,35 - 39 years,,,
2022Q3,Female,Level of education - not stated,40 - 44 years,,,
2022Q3,Female,Level of education - not stated,45 - 49 years,,,
2022Q3,Female,Level of education - not stated,50 - 54 years,,,
2022Q3,Female,Level of education - not stated,55 - 59 years,,,
2022Q3,Female,Level of education - not stated,55 - 74 years,,,
2022Q3,Female,Level of education - not stated,60 - 64 years,,,
2022Q3,Female,Level of education - not stated,All ages,68.4,,
2022Q3,Female,Levels of Education (Levels  0-8),15 - 24 years,,12.9,
2022Q3,Female,Levels of Education (Levels  0-8),20 - 24 years,63.3,,
2022Q3,Female,Levels of Education (Levels  0-8),25 - 29 years,79.2,,
2022Q3,Female,Levels of Education (Levels  0-8),25 - 54 years,76.5,3.7,1.0
2022Q3,Female,Levels of Education (Levels  0-8),30 - 34 years,76.3,,
2022Q3,Female,Levels of Education (Levels  0-8),35 - 39 years,76.0,,
2022Q3,Female,Levels of Education (Levels  0-8),40 - 44 years,77.2,,
2022Q3,Female,Levels of Education (Levels  0-8),45 - 49 years,77.9,,
2022Q3,Female,Levels of Education (Levels  0-8),50 - 54 years,72.2,,
2022Q3,Female,Levels of Education (Levels  0-8),55 - 59 years,68.9,,
2022Q3,Female,Levels of Education (Levels  0-8),55 - 74 years,,2.9,
2022Q3,Female,Levels of Education (Levels  0-8),60 - 64 years,48.1,,
2022Q3,Female,Levels of Education (Levels  0-8),All ages,71.8,4.8,1.0
2022Q3,Female,Primary and lower secondary education (Levels 1-2),15 - 24 years,,,
2022Q3,Female,Primary and lower secondary education (Levels 1-2),20 - 24 years,,,
2022Q3,Female,Primary and lower secondary education (Levels 1-2),25 - 29 years,,,
2022Q3,Female,Primary and lower secondary education (Levels 1-2),25 - 54 years,41.8,,
2022Q3,Female,Primary and lower secondary education (Levels 1-2),30 - 34 years,,,
2022Q3,Female,Primary and lower secondary education (Levels 1-2),35 - 39 years,,,
2022Q3,Female,Primary and lower secondary education (Levels 1-2),40 - 44 years,,,
2022Q3,Female,Primary and lower secondary education (Levels 1-2),45 - 49 years,43.9,,
2022Q3,Female,Primary and lower secondary education (Levels 1-2),50 - 54 years,45.8,,
2022Q3,Female,Primary and lower secondary education (Levels 1-2),55 - 59 years,46.2,,
2022Q3,Female,Primary and lower secondary education (Levels 1-2),55 - 74 years,,,
2022Q3,Female,Primary and lower secondary education (Levels 1-2),60 - 64 years,31.3,,
2022Q3,Female,Primary and lower secondary education (Levels 1-2),All ages,39.7,10.9,
2022Q3,Female,Tertiary education (Levels 5-8),15 - 24 years,,,
2022Q3,Female,Tertiary education (Levels 5-8),20 - 24 years,73.0,,
2022Q3,Female,Tertiary education (Levels 5-8),25 - 29 years,85.5,,
2022Q3,Female,Tertiary education (Levels 5-8),25 - 54 years,84.7,2.6,
2022Q3,Female,Tertiary education (Levels 5-8),30 - 34 years,86.7,,
2022Q3,Female,Tertiary education (Levels 5-8),35 - 39 years,84.8,,
2022Q3,Female,Tertiary education (Levels 5-8),40 - 44 years,83.5,,
2022Q3,Female,Tertiary education (Levels 5-8),45 - 49 years,85.4,,
2022Q3,Female,Tertiary education (Levels 5-8),50 - 54 years,82.1,,
2022Q3,Female,Tertiary education (Levels 5-8),55 - 59 years,79.9,,
2022Q3,Female,Tertiary education (Levels 5-8),55 - 74 years,,,
2022Q3,Female,Tertiary education (Levels 5-8),60 - 64 years,55.4,,
2022Q3,Female,Tertiary education (Levels 5-8),All ages,81.8,3.3,
2022Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),15 - 24 years,,10.3,
2022Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),20 - 24 years,61.3,,
2022Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 29 years,70.8,,
2022Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 54 years,67.4,5.8,
2022Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),30 - 34 years,61.3,,
2022Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),35 - 39 years,66.2,,
2022Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),40 - 44 years,66.9,,
2022Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),45 - 49 years,72.8,,
2022Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),50 - 54 years,67.5,,
2022Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 59 years,67.8,,
2022Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 74 years,,,
2022Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),60 - 64 years,51.1,,
2022Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),All ages,64.7,6.1,1.5
2022Q3,Male,Less than primary (Level 0),15 - 24 years,,,
2022Q3,Male,Less than primary (Level 0),20 - 24 years,,,
2022Q3,Male,Less than primary (Level 0),25 - 29 years,,,
2022Q3,Male,Less than primary (Level 0),25 - 54 years,,,
2022Q3,Male,Less than primary (Level 0),30 - 34 years,,,
2022Q3,Male,Less than primary (Level 0),35 - 39 years,,,
2022Q3,Male,Less than primary (Level 0),40 - 44 years,,,
2022Q3,Male,Less than primary (Level 0),45 - 49 years,,,
2022Q3,Male,Less than primary (Level 0),50 - 54 years,,,
2022Q3,Male,Less than primary (Level 0),55 - 59 years,,,
2022Q3,Male,Less than primary (Level 0),55 - 74 years,,,
2022Q3,Male,Less than primary (Level 0),60 - 64 years,,,
2022Q3,Male,Less than primary (Level 0),All ages,,,
2022Q3,Male,Level of education - not stated,15 - 24 years,,,
2022Q3,Male,Level of education - not stated,20 - 24 years,,,
2022Q3,Male,Level of education - not stated,25 - 29 years,,,
2022Q3,Male,Level of education - not stated,25 - 54 years,84.7,,
2022Q3,Male,Level of education - not stated,30 - 34 years,,,
2022Q3,Male,Level of education - not stated,35 - 39 years,,,
2022Q3,Male,Level of education - not stated,40 - 44 years,,,
2022Q3,Male,Level of education - not stated,45 - 49 years,,,
2022Q3,Male,Level of education - not stated,50 - 54 years,,,
2022Q3,Male,Level of education - not stated,55 - 59 years,,,
2022Q3,Male,Level of education - not stated,55 - 74 years,,,
2022Q3,Male,Level of education - not stated,60 - 64 years,,,
2022Q3,Male,Level of education - not stated,All ages,77.8,,
2022Q3,Male,Levels of Education (Levels  0-8),15 - 24 years,,11.3,
2022Q3,Male,Levels of Education (Levels  0-8),20 - 24 years,70.8,,
2022Q3,Male,Levels of Education (Levels  0-8),25 - 29 years,84.3,,
2022Q3,Male,Levels of Education (Levels  0-8),25 - 54 years,89.2,3.2,1.2
2022Q3,Male,Levels of Education (Levels  0-8),30 - 34 years,89.2,,
2022Q3,Male,Levels of Education (Levels  0-8),35 - 39 years,90.8,,
2022Q3,Male,Levels of Education (Levels  0-8),40 - 44 years,92.5,,
2022Q3,Male,Levels of Education (Levels  0-8),45 - 49 years,88.7,,
2022Q3,Male,Levels of Education (Levels  0-8),50 - 54 years,88.2,,
2022Q3,Male,Levels of Education (Levels  0-8),55 - 59 years,81.5,,
2022Q3,Male,Levels of Education (Levels  0-8),55 - 74 years,,2.8,
2022Q3,Male,Levels of Education (Levels  0-8),60 - 64 years,68.5,,
2022Q3,Male,Levels of Education (Levels  0-8),All ages,84.6,4.2,1.2
2022Q3,Male,Primary and lower secondary education (Levels 1-2),15 - 24 years,,,
2022Q3,Male,Primary and lower secondary education (Levels 1-2),20 - 24 years,,,
2022Q3,Male,Primary and lower secondary education (Levels 1-2),25 - 29 years,,,
2022Q3,Male,Primary and lower secondary education (Levels 1-2),25 - 54 years,69.5,9.1,
2022Q3,Male,Primary and lower secondary education (Levels 1-2),30 - 34 years,,,
2022Q3,Male,Primary and lower secondary education (Levels 1-2),35 - 39 years,68.7,,
2022Q3,Male,Primary and lower secondary education (Levels 1-2),40 - 44 years,73.9,,
2022Q3,Male,Primary and lower secondary education (Levels 1-2),45 - 49 years,71.9,,
2022Q3,Male,Primary and lower secondary education (Levels 1-2),50 - 54 years,74.9,,
2022Q3,Male,Primary and lower secondary education (Levels 1-2),55 - 59 years,68.2,,
2022Q3,Male,Primary and lower secondary education (Levels 1-2),55 - 74 years,,,
2022Q3,Male,Primary and lower secondary education (Levels 1-2),60 - 64 years,61.5,,
2022Q3,Male,Primary and lower secondary education (Levels 1-2),All ages,67.5,7.9,3.4
2022Q3,Male,Tertiary education (Levels 5-8),15 - 24 years,,,
2022Q3,Male,Tertiary education (Levels 5-8),20 - 24 years,79.5,,
2022Q3,Male,Tertiary education (Levels 5-8),25 - 29 years,90.4,,
2022Q3,Male,Tertiary education (Levels 5-8),25 - 54 years,94.3,2.5,
2022Q3,Male,Tertiary education (Levels 5-8),30 - 34 years,94.3,,
2022Q3,Male,Tertiary education (Levels 5-8),35 - 39 years,95.8,,
2022Q3,Male,Tertiary education (Levels 5-8),40 - 44 years,96.2,,
2022Q3,Male,Tertiary education (Levels 5-8),45 - 49 years,92.9,,
2022Q3,Male,Tertiary education (Levels 5-8),50 - 54 years,95.6,,
2022Q3,Male,Tertiary education (Levels 5-8),55 - 59 years,92.8,,
2022Q3,Male,Tertiary education (Levels 5-8),55 - 74 years,,,
2022Q3,Male,Tertiary education (Levels 5-8),60 - 64 years,71.9,,
2022Q3,Male,Tertiary education (Levels 5-8),All ages,91.7,2.8,
2022Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),15 - 24 years,,11.0,
2022Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),20 - 24 years,68.8,,
2022Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 29 years,82.5,,
2022Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 54 years,88.2,3.1,
2022Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),30 - 34 years,86.6,,
2022Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),35 - 39 years,90.2,,
2022Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),40 - 44 years,91.9,,
2022Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),45 - 49 years,89.4,,
2022Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),50 - 54 years,86.8,,
2022Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 59 years,83.6,,
2022Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 74 years,,,
2022Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),60 - 64 years,71.0,,
2022Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),All ages,82.9,4.5,1.3
2022Q4,Both sexes,Less than primary (Level 0),15 - 24 years,,,
2022Q4,Both sexes,Less than primary (Level 0),20 - 24 years,,,
2022Q4,Both sexes,Less than primary (Level 0),25 - 29 years,,,
2022Q4,Both sexes,Less than primary (Level 0),25 - 54 years,,,
2022Q4,Both sexes,Less than primary (Level 0),30 - 34 years,,,
2022Q4,Both sexes,Less than primary (Level 0),35 - 39 years,,,
2022Q4,Both sexes,Less than primary (Level 0),40 - 44 years,,,
2022Q4,Both sexes,Less than primary (Level 0),45 - 49 years,,,
2022Q4,Both sexes,Less than primary (Level 0),50 - 54 years,,,
2022Q4,Both sexes,Less than primary (Level 0),55 - 59 years,,,
2022Q4,Both sexes,Less than primary (Level 0),55 - 74 years,,,
2022Q4,Both sexes,Less than primary (Level 0),60 - 64 years,,,
2022Q4,Both sexes,Less than primary (Level 0),All ages,,,
2022Q4,Both sexes,Level of education - not stated,15 - 24 years,,,
2022Q4,Both sexes,Level of education - not stated,20 - 24 years,,,
2022Q4,Both sexes,Level of education - not stated,25 - 29 years,,,
2022Q4,Both sexes,Level of education - not stated,25 - 54 years,76.6,,
2022Q4,Both sexes,Level of education - not stated,30 - 34 years,75.3,,
2022Q4,Both sexes,Level of education - not stated,35 - 39 years,76.4,,
2022Q4,Both sexes,Level of education - not stated,40 - 44 years,79.8,,
2022Q4,Both sexes,Level of education - not stated,45 - 49 years,72.4,,
2022Q4,Both sexes,Level of education - not stated,50 - 54 years,,,
2022Q4,Both sexes,Level of education - not stated,55 - 59 years,,,
2022Q4,Both sexes,Level of education - not stated,55 - 74 years,,,
2022Q4,Both sexes,Level of education - not stated,60 - 64 years,,,
2022Q4,Both sexes,Level of education - not stated,All ages,70.6,,
2022Q4,Both sexes,Levels of Education (Levels  0-8),15 - 24 years,,9.1,
2022Q4,Both sexes,Levels of Education (Levels  0-8),20 - 24 years,67.4,,
2022Q4,Both sexes,Levels of Education (Levels  0-8),25 - 29 years,82.8,,
2022Q4,Both sexes,Levels of Education (Levels  0-8),25 - 54 years,82.9,3.6,1.1
2022Q4,Both sexes,Levels of Education (Levels  0-8),30 - 34 years,82.1,,
2022Q4,Both sexes,Levels of Education (Levels  0-8),35 - 39 years,82.8,,
